NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,Inodoro acero inoxidable,"697,59 €",,Construdeco Asturias SL,B27193762,60 días,suminisro,
,Electrocardiógrafos (3),"16.927,27 €",,Dextromédica SL,B46149555,,suminisro,
,Nevera para Medicina Interna,"239,00 €",,Electrodomésticos Carlos S.L. ( B33300880),,30 días,suminisro,
,Nevera para consultorio de Villayon,"339,01 €",,Electrodomésticos Carlos SL ( B33300880),,15 días,suminisro,
,Lavamanos inoxidable,"669,71 €",,García Rodríguez Hermanos SA,A33630278,60 días,suminisro,
,Ensobradora,"3.835,19 €",,Intimus International Ibérica SA ( A60367927),,,suminisro,
,Transfer de pacientes para sala de partos,"598,95 €",,Karinter 94 S.L.,B60714037,,suminisro,
,Limpieza consultorio Puerto de Vega,"8.819,39 €",,Lacera Servicios y Mantenimiento SA,A33123498,,servicio,
,Sillas de ruedas (4) para CS Luarca,"1.210,00 €",,Medas Medical S.L.,B42912329,,suminisro,
,Doppler fetal para CS Vegadeo,"292,82 €",,Medas Medical S.L.,B42912329,15 días,suminisro,
,"Módulo desinfecta cuñas automática, mesa y fregadero Meiko Clean Solutions Ibérica SLU (B87745196)","15.669,50 €",,60 días,,,suminisro,
,Videoendoscopios,"18.143,95 €",,Optomic España S.A.,A81519423,,suminisro,
,Sistema de endoscopia,"10.684,30 €",,Optomic España S.A.,A81519423,,suminisro,
,Sillón exploración ginecológica para CS Vegadeo,"1.773,86 €",,"Ovidio Suarez Distribuciones , S.L.",B52510807,,suminisro,
,Nevera para consultorio Grandas de Salime,"379,00 €",,"Pablo Fernández Pérez, S.L.",B33449596,15 días,suminisro,
,Broncoscopio,"17.422,79 €",,Pentax Medical Iberia SAU,A82866591,,suminisro,
,Reparación SAI endoscopias,"6.149,53 €",,Salicru SA,A08435356,,servicio,
,Análisis calidad agua de piscina,"1.149,50 €",,Saniastur SL ( B33065251),,12 meses,servicio,
,Mini Motor para pequeños fragmentos,"14.902,89 €",,Suministros Médico Quirúrgicos S.A.,A33030610,,suminisro,
,Impresora digital médica para ecógrafo,"1.331,00 €",,"Suministros Médicos del Norte, S.A.",A74201534,,suminisro,
,Sistema climatización Laboratorio Microbiología,"4.809,75 €",,"Vicente Pelayo, S.L. ( B33616511)",,,suminisro,
,Neveras medicación (4) diversos consultorios,"9.481,56 €",,Vidra Foc SA,A08677841,,suminisro,
